"Year","State_ANSI","State","soma_ano","Soma_total","Soma_ac","qtd_ano_anterior","percentual"
2020,4,ARIZONA,4889000000,16572000000,4889000000,,29.5
2021,4,ARIZONA,4818000000,16572000000,9707000000,4889000000,29.099999999999998
2022,4,ARIZONA,4772000000,16572000000,14479000000,4818000000,28.799999999999997
2023,4,ARIZONA,2093000000,16572000000,16572000000,4772000000,12.6
2020,6,CALIFORNIA,41311000000,142596000000,41311000000,,28.999999999999996
2021,6,CALIFORNIA,41861000000,142596000000,83172000000,41311000000,29.4
2022,6,CALIFORNIA,41787000000,142596000000,124959000000,41861000000,29.299999999999997
2023,6,CALIFORNIA,17637000000,142596000000,142596000000,41787000000,12.4
2020,8,COLORADO,5150000000,17936000000,5150000000,,28.7
2021,8,COLORADO,5275000000,17936000000,10425000000,5150000000,29.4
2022,8,COLORADO,5314000000,17936000000,15739000000,5275000000,29.599999999999998
2023,8,COLORADO,2197000000,17936000000,17936000000,5314000000,12.2
2020,12,FLORIDA,2286000000,7213000000,2286000000,,31.7
2021,12,FLORIDA,2170000000,7213000000,4456000000,2286000000,30.099999999999998
2022,12,FLORIDA,1933000000,7213000000,6389000000,2170000000,26.8
2023,12,FLORIDA,824000000,7213000000,7213000000,1933000000,11.4
2020,13,GEORGIA,1772000000,6496000000,1772000000,,27.3
2021,13,GEORGIA,1798000000,6496000000,3570000000,1772000000,27.700000000000003
2022,13,GEORGIA,2028000000,6496000000,5598000000,1798000000,31.2
2023,13,GEORGIA,898000000,6496000000,6496000000,2028000000,13.8
2020,16,IDAHO,16237000000,56312000000,16237000000,,28.799999999999997
2021,16,IDAHO,16412000000,56312000000,32649000000,16237000000,29.099999999999998
2022,16,IDAHO,16628000000,56312000000,49277000000,16412000000,29.5
2023,16,IDAHO,7035000000,56312000000,56312000000,16628000000,12.5
2020,17,ILLINOIS,1787000000,6004000000,1787000000,,29.799999999999997
2021,17,ILLINOIS,1770000000,6004000000,3557000000,1787000000,29.5
2022,17,ILLINOIS,1714000000,6004000000,5271000000,1770000000,28.499999999999996
2023,17,ILLINOIS,733000000,6004000000,6004000000,1714000000,12.2
2020,18,INDIANA,4334000000,15181000000,4334000000,,28.499999999999996
2021,18,INDIANA,4539000000,15181000000,8873000000,4334000000,29.9
2022,18,INDIANA,4413000000,15181000000,13286000000,4539000000,29.099999999999998
2023,18,INDIANA,1895000000,15181000000,15181000000,4413000000,12.5
2020,19,IOWA,5374000000,19160000000,5374000000,,28.000000000000004
2021,19,IOWA,5538000000,19160000000,10912000000,5374000000,28.9
2022,19,IOWA,5770000000,19160000000,16682000000,5538000000,30.099999999999998
2023,19,IOWA,2478000000,19160000000,19160000000,5770000000,12.9
2020,20,KANSAS,4026000000,14059000000,4026000000,,28.599999999999998
2021,20,KANSAS,4099000000,14059000000,8125000000,4026000000,29.2
2022,20,KANSAS,4143000000,14059000000,12268000000,4099000000,29.5
2023,20,KANSAS,1791000000,14059000000,14059000000,4143000000,12.7
2020,26,MICHIGAN,11685000000,40397000000,11685000000,,28.9
2021,26,MICHIGAN,11952000000,40397000000,23637000000,11685000000,29.599999999999998
2022,26,MICHIGAN,11740000000,40397000000,35377000000,11952000000,29.099999999999998
2023,26,MICHIGAN,5020000000,40397000000,40397000000,11740000000,12.4
2020,27,MINNESOTA,10167000000,35601000000,10167000000,,28.599999999999998
2021,27,MINNESOTA,10538000000,35601000000,20705000000,10167000000,29.599999999999998
2022,27,MINNESOTA,10477000000,35601000000,31182000000,10538000000,29.4
2023,27,MINNESOTA,4419000000,35601000000,35601000000,10477000000,12.4
2020,35,NEW MEXICO,8169000000,26110000000,8169000000,,31.3
2021,35,NEW MEXICO,7804000000,26110000000,15973000000,8169000000,29.9
2022,35,NEW MEXICO,7148000000,26110000000,23121000000,7804000000,27.400000000000002
2023,35,NEW MEXICO,2989000000,26110000000,26110000000,7148000000,11.4
2020,36,NEW YORK,15296000000,53171000000,15296000000,,28.799999999999997
2021,36,NEW YORK,15540000000,53171000000,30836000000,15296000000,29.2
2022,36,NEW YORK,15660000000,53171000000,46496000000,15540000000,29.5
2023,36,NEW YORK,6675000000,53171000000,53171000000,15660000000,12.6
2020,39,OHIO,5618000000,19139000000,5618000000,,29.4
2021,39,OHIO,5640000000,19139000000,11258000000,5618000000,29.5
2022,39,OHIO,5519000000,19139000000,16777000000,5640000000,28.799999999999997
2023,39,OHIO,2362000000,19139000000,19139000000,5519000000,12.3
2020,41,OREGON,2637000000,8992000000,2637000000,,29.299999999999997
2021,41,OREGON,2622000000,8992000000,5259000000,2637000000,29.2
2022,41,OREGON,2636000000,8992000000,7895000000,2622000000,29.299999999999997
2023,41,OREGON,1097000000,8992000000,8992000000,2636000000,12.2
2020,42,PENNSYLVANIA,10279000000,34575000000,10279000000,,29.7
2021,42,PENNSYLVANIA,10114000000,34575000000,20393000000,10279000000,29.299999999999997
2022,42,PENNSYLVANIA,9949000000,34575000000,30342000000,10114000000,28.799999999999997
2023,42,PENNSYLVANIA,4233000000,34575000000,34575000000,9949000000,12.2
2020,46,SOUTH DAKOTA,3120000000,12674000000,3120000000,,24.6
2021,46,SOUTH DAKOTA,3602000000,12674000000,6722000000,3120000000,28.4
2022,46,SOUTH DAKOTA,4161000000,12674000000,10883000000,3602000000,32.800000000000004
2023,46,SOUTH DAKOTA,1791000000,12674000000,12674000000,4161000000,14.099999999999998
2020,48,TEXAS,14855000000,54117000000,14855000000,,27.400000000000002
2021,48,TEXAS,15599000000,54117000000,30454000000,14855000000,28.799999999999997
2022,48,TEXAS,16524000000,54117000000,46978000000,15599000000,30.5
2023,48,TEXAS,7139000000,54117000000,54117000000,16524000000,13.200000000000001
2020,49,UTAH,2230000000,7511000000,2230000000,,29.7
2021,49,UTAH,2224000000,7511000000,4454000000,2230000000,29.599999999999998
2022,49,UTAH,2169000000,7511000000,6623000000,2224000000,28.9
2023,49,UTAH,888000000,7511000000,7511000000,2169000000,11.799999999999999
2020,50,VERMONT,2603000000,8795000000,2603000000,,29.599999999999998
2021,50,VERMONT,2567000000,8795000000,5170000000,2603000000,29.2
2022,50,VERMONT,2554000000,8795000000,7724000000,2567000000,28.999999999999996
2023,50,VERMONT,1071000000,8795000000,8795000000,2554000000,12.2
2020,51,VIRGINIA,1522000000,5020000000,1522000000,,30.3
2021,51,VIRGINIA,1471000000,5020000000,2993000000,1522000000,29.299999999999997
2022,51,VIRGINIA,1424000000,5020000000,4417000000,1471000000,28.4
2023,51,VIRGINIA,603000000,5020000000,5020000000,1424000000,12.0
2020,53,WASHINGTON,6817000000,22172000000,6817000000,,30.7
2021,53,WASHINGTON,6504000000,22172000000,13321000000,6817000000,29.299999999999997
2022,53,WASHINGTON,6239000000,22172000000,19560000000,6504000000,28.1
2023,53,WASHINGTON,2612000000,22172000000,22172000000,6239000000,11.799999999999999
2020,55,WISCONSIN,30749000000,107671000000,30749000000,,28.599999999999998
2021,55,WISCONSIN,31708000000,107671000000,62457000000,30749000000,29.4
2022,55,WISCONSIN,31882000000,107671000000,94339000000,31708000000,29.599999999999998
2023,55,WISCONSIN,13332000000,107671000000,107671000000,31882000000,12.4
